"drug1_id","drug2_id","condition_id"
"DB09074","DB12010","D008545"
"DB01254","DB12010","D008545"
"DB08912","DB00762","D002289"
"DB11967","DB08875","D001943"
"DB11967","DB12267","D010051"
"DB11967","DB14723","D005909"
"DB12001","DB14723","D005910"
"DB12001","DB11967","D005909"
"DB06616","DB12010","D005910"
"DB12001","DB09074","D001749"
"DB12001","DB01590","D001749"
"DB12001","DB12483","D000077195"
"DB12001","DB08828","D000077195"
"DB11967","DB09073","D002289"
"DB11967","DB09073","D005909"
"DB11967","DB12267","D008545"
"DB11967","DB12147","D001943"
"DB11967","DB09073","D021441"
"DB11967","DB09073","D010051"
"DB11967","DB08875","D000077195"
"DB11967","DB12267","D005909"
"DB11967","DB14723","D008545"
"DB11967","DB00482","D005910"
"DB11967","DB12267","D010673"
"DB11967","DB12010","D010051"
"DB11967","DB09073","D008545"
"DB06616","DB12010","D004938"
"DB11967","DB09073","D004938"
"DB12001","DB11967","D001749"
"DB11967","DB08875","D016889"
"DB11967","DB14723","D010673"
"DB12001","DB14723","D013964"
"DB12001","DB08899","D000077195"
"DB12001","DB08912","D005910"
"DB12001","DB12483","D006528"
"DB12001","DB08899","D005910"
"DB12001","DB08911","D005909"
"DB12001","DB06287","D000077195"
"DB05015","DB08908","D002289"
"DB05015","DB11942","D002289"
"DB05015","DB11942","D016889"
"DB05015","DB11942","D004938"
"DB05015","DB01204","D006528"
"DB12001","DB08912","D000077195"
"DB12001","DB11967","D002289"
"DB12001","DB12147","D002292"
"DB12001","DB09074","D000077195"
"DB05015","DB01262","D005909"
"DB05015","DB09074","D008545"
"DB12001","DB06287","D002292"
"DB12001","DB08899","D010051"
"DB12001","DB12483","D005910"
"DB12001","DB11967","D001943"
"DB12001","DB00631","D002289"
"DB08916","DB05015","D010673"
"DB08916","DB05015","D004938"
"DB05015","DB11942","D002294"
"DB12001","DB08916","D002289"
"DB12001","DB00482","D005910"
"DB11652","DB06137","D001943"
"DB11800","DB14545","D002289"
"DB12001","DB00104","D001749"
"DB12001","DB00104","D002289"
"DB11942","DB00104","D016889"
"DB11942","DB00104","D002289"
"DB08908","DB00104","D001943"
"DB12001","DB14545","D002289"
