drug1	drug2	condition
DB00766	DB01060	D007249
DB11574	DB11575	D005355
DB01299	DB00205	D019052
DB01299	DB00205	D003863
DB01299	DB00205	D003866
DB11613	DB08934	D000071576
DB01299	DB00205	D066126
DB00766	DB01060	D014069
DB01015	DB00440	D008457
DB15941	DB15940	D018352
DB01015	DB00440	D016720
DB00766	DB01060	D016638
DB01015	DB00440	D003428
DB01606	DB00319	D006086
DB00177	DB09292	D058729
DB00177	DB09292	D016491
DB00750	DB00281	D013789
DB00766	DB01060	D020323
DB00766	DB01060	D013981
DB11574	DB11575	D000163
DB11574	DB11575	D015658
DB11574	DB11575	D007153
DB01262	DB15694	D015456
DB01131	DB01117	D005764
DB00750	DB00281	D008569
DB00750	DB00281	D060825
DB01606	DB09050	D016638
DB01262	DB15694	D000095542
DB01262	DB15694	D000740
DB01262	DB15694	D007970
DB01262	DB15694	D013921
DB01606	DB00319	D018746
DB09027	DB08934	D008103
DB09027	DB08934	D005355
DB01015	DB00440	D007674
DB01015	DB00440	D004660
DB00750	DB00281	D012871
DB01076	DB00381	D006509
DB01076	DB00381	D019694
DB01076	DB00381	D052439
DB06708	DB06697	D014376
DB01264	DB09065	D014376
DB01264	DB09065	D055985
DB11613	DB08934	D002277
DB11613	DB08934	D006528
DB11613	DB08934	D012008
DB01015	DB00440	D007021
DB11574	DB11575	D003680
DB00790	DB00808	D014652
DB00921	DB01183	D004630
DB00766	DB01060	D003428
DB00766	DB01060	D017714
DB00983	DB01222	D000080445
DB01299	DB00205	D011248
DB00766	DB01060	D022125
DB11574	DB11575	D019966
DB11574	DB11575	D015819
DB00921	DB01183	D009357
DB01015	DB00440	D012749
DB01015	DB00440	D011704
DB09324	DB00415	D000784
DB09324	DB00415	D000783
DB09324	DB00415	D001014
DB09324	DB00415	D017545
DB09324	DB00415	D006349
DB09324	DB00415	D000094629
DB00766	DB01060	D008337
DB00766	DB01060	D007572
DB00766	DB01060	D050723
DB09324	DB00415	D008337
