drug	condition
DB00300	D015658
DB00047	D003920
DB00047	D003924
DB01229	D002277
DB13809	D002277
DB01229	D010190
DB13809	D010190
DB08895	D001168
DB08895	D001172
DB01156	D014029
DB00448	D005764
DB00448	D004942
DB05351	D005764
DB05351	D004942
DB00470	D009325
DB00470	D014839
DB00904	D009325
DB00904	D014839
DB01156	D003866
DB01156	D003865
DB06700	D000088323
DB06700	D003863
DB06700	D003866
DB00196	D019522
DB12834	D019522
DB01132	D008107
DB00041	D008223
DB00635	D008223
DB00531	D008223
DB00541	D008223
DB09302	D012772
DB09302	D012769
DB00136	D000236
DB15557	D000236
DB00136	D018256
DB15557	D018256
DB06724	D000236
DB06724	D018256
DB01373	D000236
DB01373	D018256
DB00290	D008223
DB00290	D008228
DB01234	D001927
DB11487	D001927
DB14649	D001927
DB01234	D054038
DB11487	D054038
DB14649	D054038
DB01234	D004461
DB11487	D004461
DB14649	D004461
DB01590	D009369
DB01590	D018358
DB01590	D002276
DB01590	D004701
DB06655	D003922
DB06774	D015658
DB06774	D009422
DB06774	D010523
DB01234	D001134
DB11487	D001134
DB14649	D001134
DB00633	D001134
DB00297	D001134
DB09037	D009369
DB09037	D018281
DB09037	D001650
DB01175	D003920
DB06825	D007246
DB00230	D010523
DB00230	D003929
DB00230	D009437
DB00435	D015427
DB00435	D014947
DB00470	D013585
DB00470	D014947
DB00470	D007718
DB01222	D012135
DB01001	D012135
DB00650	D000230
DB00650	D010190
DB01229	D000230
DB13809	D000230
DB00441	D000230
DB00526	D000230
DB00526	D010190
DB00762	D000230
DB00762	D010190
DB01156	D002277
DB01156	D001943
DB01156	D014846
DB01156	D014625
DB00007	D011471
DB00014	D011471
DB01128	D011471
DB00860	D008223
DB14631	D008223
DB14632	D008223
DB15566	D008223
DB00860	D018442
DB14631	D018442
DB14632	D018442
DB15566	D018442
DB00531	D018442
DB00073	D018442
DB00541	D018442
DB09274	D008288
DB06708	D008288
DB06697	D008288
DB00613	D008288
DB00358	D008288
DB00641	D001930
DB00641	D000070642
DB00273	D009765
DB00435	D007239
DB00435	D003141
DB00435	D000086382
DB00481	D010024
DB00481	D004714
DB00481	D006965
DB06401	D010024
DB06401	D004714
DB06401	D006965
DB00286	D010024
DB00286	D004714
DB00286	D006965
DB00277	D008175
DB00277	D002289
DB06603	D055752
DB06603	D008175
